0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 32, 0, 0, 2, 0, 0
2, 1, 2, 0, 0, 16, 0, 0, 4, 0, 0
3, 1, 3, 0, 0, 8, 0, 0, 4, 0, 0
4, 1, 4, 0, 0, 8, 0, 0, 4, 0, 0
5, 1, 5, 0, 0, 8, 0, 0, 8, 0, 0
6, 1, 6, 0, 0, 1, 0, 0, 8, 0, 0
7, 1, 7, 0, 0, 1, 0, 0, 8, 0, 0
8, 1, 8, 0, 0, 1, 0, 0, 16, 0, 0
9, 1, 9, 0, 0, 1, 0, 0, 8, 0, 0
10, 1, 10, 0, 0, 1, 0, 0, 16, 0, 0
11, 1, 11, 0, 0, 1, 0, 0, 16, 0, 0
12, 1, 12, 0, 0, 1, 0, 0, 16, 0, 0
13, 2, 6, 7, 0, 8, 8, 0, 8, 8, 0
14, 2, 7, 7, 0, 8, 8, 0, 8, 8, 0
15, 2, 7, 8, 0, 8, 8, 0, 8, 16, 0
16, 2, 8, 8, 0, 8, 8, 0, 16, 16, 0
17, 2, 9, 8, 0, 8, 8, 0, 8, 16, 0
18, 2, 9, 9, 0, 8, 8, 0, 16, 16, 0
19, 2, 10, 9, 0, 8, 8, 0, 16, 8, 0
20, 2, 10, 10, 0, 4, 4, 0, 16, 16, 0
21, 2, 10, 11, 0, 4, 2, 0,  16, 16, 0
22, 2, 11, 11, 0, 2, 2, 0,  16, 16, 0
23, 3, 8, 8, 7, 16, 16, 16,  32, 32, 16
24, 3, 8, 8, 8, 16, 16, 16,  16, 16, 16
25, 3, 9, 8, 8, 16, 16, 16,  16, 16, 16
